n	expression
2096	((012+(34*(5-67)))*(8-9))
2097	((((012*3)*45)+(6*78))+9)
2098	(((0123-4)*(5+6))+789)
2099	(((((0-12)-3)+45)*67)+89)
2100	((0-12)-((34-56)*(7+89)))
2101	((01234+((5+6)*78))+9)
2102	((0123+((45*6)*7))+89)
2103	(0123+(4*(567-(8*9))))
2104	(((0-123)+(4*(567-8)))-9)
2105	((((01+23)+4)*(5+67))+89)
2106	(((((012*34)*5)+67)+8)-9)
2107	(((012*34)*5)-(67*(8-9)))
2108	(((((012*34)*5)+67)-8)+9)
2109	((((0-1)+23)*(4+56))+789)
2110	((((01+2)-(34*(5-67)))+8)-9)
2111	((0-1234)+(5*(678-9)))
2112	(((((0-1)+234)+56)*7)+89)
2113	((((01*2)*3)*456)-(7*89))
2114	((01*2)-((34-56)*(7+89)))
2115	(((((012*34)*5)+6)+78)-9)
2116	(((((012*34)*5)-6)-7)+89)
2117	((012*(((34*5)+6)-7))+89)
2118	(((((012+345)*6)-7)-8)-9)
2119	((((01*234)+56)*7)+89)
2120	((01+((234+56)*7))+89)
2121	(((((012*34)*5)-6)+78)+9)
2122	(((((01+23)+4)+5)*67)-89)
2123	((((0-12)+(345*6))+(7*8))+9)
2124	(012*(((34+56)+78)+9))
2125	((01+2345)-((6+7)*(8+9)))
2126	((((01+234)+56)*7)+89)
2127	((((0-12)+(345*6))+78)-9)
2128	(((((012*34)*5)+6)-7)+89)
2129	(((012*34)*5)-((6-7)*89))
2130	(((((012*34)*5)-6)+7)+89)
2131	((((0-12)+(34*(56+7)))-8)+9)
2132	(((((012+345)*6)+7)-8)-9)
2133	((((0123*4)-5)*6)-789)
2134	(((((012+345)*6)-7)+8)-9)
2135	((((01*23)+4)*56)+(7*89))
2136	(01234-((5+6)*(7-89)))
2137	(((((0-12)+345)-67)*8)+9)
2138	((((01-2)+(345*6))+78)-9)
2139	(((((0*12)+345)*6)+78)-9)
2140	((((0-12)+(345*6))-7)+89)
2141	(((((01+2)+34)*56)+78)-9)
2142	(((((01-23)*4)*5)+678)*9)
2143	((((0-12)*3)+(4*567))-89)
2144	(((((012*3)+4)*56)-7)-89)
2145	(((0-12)+(3*456))+789)
2146	(((((01-2)+345)*6)-7)+89)
2147	(((0-1234)+(5*678))-9)
2148	(((((012+345)*6)+7)+8)-9)
2149	(((012+345)*6)-(7*(8-9)))
2150	(((((012+345)*6)+7)-8)+9)
2151	(((012+(345*6))+78)-9)
2152	(((((0*12)+345)*6)-7)+89)
2153	(((((012*3)+4)*56)-78)-9)
2154	(012+(3*((45+678)-9)))
2155	((((0*1)-2)+(3*456))+789)
2156	(((01-2)+(3*456))+789)
2157	((((0*12)+3)*456)+789)
2158	(((((012*3)+4)*56)+7)-89)
2159	(((01*2)+(3*456))+789)
2160	((((0123+45)-6)+78)*9)
2161	(((012+(345*6))+7)+(8*9))
2162	((((0-123)+(4*567))+8)+9)
2163	((((01*234)-5)*6)+789)
2164	(((012+(345*6))-7)+89)
2165	(((0-1234)+(5*678))+9)
2166	(((01+2)*(3+456))+789)
2167	((((0123+45)*(6+7))-8)-9)
2168	(((((01+2)+34)*56)+7)+89)
2169	((012+(3*456))+789)
2170	((01+(23*(4+56)))+789)
2171	(((((012*3)+4)*56)-78)+9)
2172	((012+(3*(45+678)))-9)
2173	(((((0*1)-2)*3)+(4*567))-89)
2174	(((01*23)*45)+(67*(8+9)))
2175	(((((01+2)+345)*6)+78)+9)
2176	((((0*12)-3)+(4*567))-89)
2177	(((01+23)*((4*5)+67))+89)
2178	(((012+(345*6))+7)+89)
2179	((((0*123)+4)*567)-89)
2180	(((01*2)+(3*(45+678)))+9)
2181	((((01-2)+3)+(4*567))-89)
2182	((((0*12)+3)+(4*567))-89)
2183	((((0123+45)*(6+7))+8)-9)
2184	(((((01*2)+3)*456)-7)-89)
2185	((((01*2)*3)+(4*567))-89)
2186	(((0123+4)*(5+6))+789)
2187	((((0123+45)+67)+8)*9)
2188	((((0-1)+2345)-67)-89)
2189	(((01*2345)-67)-89)
2190	(((01+2345)-67)-89)
2191	(01234+((5+6)*(78+9)))
2192	(((01*23)*45)+((6+7)*89))
2193	((((0123*4)+5)*6)-789)
2194	(((012+3)+(4*567))-89)
2195	((01-2)+(3*((45+678)+9)))
2196	((((012*34)*5)+67)+89)
2197	((((0*12)-34)*(5-67))+89)
2198	(((((01*2)+3)*456)+7)-89)
2199	(012-(3*((4+56)-789)))
2200	(((((0-12)+345)-6)*7)-89)
2201	((0-1234)+(5*(678+9)))
2202	(((01*23)+(4*567))-89)
2203	(((01+23)+(4*567))-89)
2204	(((01*2345)-6)-((7+8)*9))
2205	((((0-1)+2345)-67)-(8*9))
2206	(((01*2345)-67)-(8*9))
2207	(((01+2345)-67)-(8*9))
2208	(012+(3*((45+678)+9)))
2209	((012-(34*(5-67)))+89)
2210	(((012-34)+56)*((7*8)+9))
2211	((((012+345)*6)+78)-9)
2212	(((01+((2+3)*456))-78)+9)
2213	((((0-1)+2345)-(6*7))-89)
2214	(((01*2345)-(6*7))-89)
2215	(((01+2345)-(6*7))-89)
2216	(((01*2345)+6)-((7+8)*9))
2217	(((((0-1)+234)+5)*6)+789)
2218	(((01+2)+((345-67)*8))-9)
2219	(((0-12)+(34*(56+7)))+89)
2220	(012*(((34-5)+67)+89))
2221	((((012+345)*6)+7)+(8*9))
2222	(((0-1)+((234+5)*6))+789)
2223	((((01*234)+5)*6)+789)
2224	((((012+345)*6)-7)+89)
2225	(((((0*12)+3)-45)+67)*89)
2226	(012-(3*((45+6)-789)))
2227	((012+((345-67)*8))-9)
2228	((01+2)+(((3-45)+67)*89))
2229	((((01+234)+5)*6)+789)
2230	((01*2)*((34*56)-789))
2231	(01+(2*((34*56)-789)))
2232	(012*(((34+56)+7)+89))
2233	(((((0*12)+345)-67)*8)+9)
2234	(((0-123)+(4*567))+89)
2235	((((0-12)*(3-45))*6)-789)
2236	(((01+2)+((345-67)*8))+9)
2237	(012+(((3-45)+67)*89))
2238	((((012+345)*6)+7)+89)
2239	(((((01+2)+345)-67)*8)-9)
2240	((((0*123)-4)*56)*((7-8)-9))
2241	(((((0-12)+345)-6)-78)*9)
2242	((((0-123)+456)*7)-89)
2243	((((01*2345)-6)-7)-89)
2244	((((01+2345)-6)-7)-89)
2245	((012+((345-67)*8))+9)
2246	(((01*2345)-(6*(7+8)))-9)
2247	((((01-23)+(4*567))-8)+9)
2248	((0123*(((4*5)+6)-7))-89)
2249	(((((01*2)+345)-67)*8)+9)
2250	(((0*12)-3)*((45-6)-789))
2251	(((((0*123)+4)*567)-8)-9)
2252	((((01*2345)-6)-78)-9)
2253	((((01+2345)-6)-78)-9)
2254	(((((0-1)+2345)+6)-7)-89)
2255	((((01*2345)+6)-7)-89)
2256	((((01+2345)+6)-7)-89)
2257	((((01*2345)-6)+7)-89)
2258	((((01+2345)-6)+7)-89)
2259	((((0-123)+456)*7)-(8*9))
2260	(((((0-1)+2345)-67)-8)-9)
2261	((((01*2345)-67)-8)-9)
2262	((((01+2345)-67)-8)-9)
2263	(((((0-1)+2345)+6)-78)-9)
2264	((((01*2345)+6)-78)-9)
2265	((((01+2345)+6)-78)-9)
2266	((((012+3)+(4*567))-8)-9)
2267	(((((0*123)+4)*567)+8)-9)
2268	(012*((345-67)-89))
2269	((((01*2345)+6)+7)-89)
2270	((((01*2345)-6)-78)+9)
2271	((((01+2345)-6)-78)+9)
2272	((((01*2345)+6)-7)-(8*9))
2273	(((0123+45)*(6+7))+89)
2274	((((0-123)*4)*5)+(6*789))
2275	((((01+23)+(4*567))-8)-9)
2276	(((((0-1)+2345)-67)+8)-9)
2277	((((01*2345)-67)+8)-9)
2278	((((01+2345)-67)+8)-9)
2279	((((01*2345)-67)-8)+9)
2280	((((01+2345)-67)-8)+9)
2281	(01+(2*((345+6)+789)))
2282	((((01*2345)+6)-78)+9)
2283	((((01+2345)+6)-78)+9)
2284	(((((0*12)+345)-6)*7)-89)
2285	(((((0*123)+4)*567)+8)+9)
2286	((((01*2345)+6)+7)-(8*9))
2287	((((01+2345)+6)+7)-(8*9))
2288	(01234-((5-67)*(8+9)))
2289	((((012*3)*45)+678)-9)
2290	(01234+((5+6)*(7+89)))
2291	((((0*123)+4)*(567+8))-9)
2292	((((01*23)+(4*567))-8)+9)
2293	((((01+23)+(4*567))-8)+9)
2294	(((((0-1)+2345)-67)+8)+9)
2295	((((0-123)+456)-78)*9)
2296	((((01+2345)-67)+8)+9)
2297	((((0-1)+2345)+(6*7))-89)
2298	(((01*2345)+(6*7))-89)
2299	(((01+2345)+(6*7))-89)
2300	(((((01+23)+4)+5)*67)+89)
2301	((((01*23)+4)*56)+789)
2302	((0123+(4*567))-89)
2303	((((01+2345)-(6*7))+8)-9)
2304	((((01*234)-56)+78)*9)
2305	(01+(((234-56)+78)*9))
2306	(((012+3)+(4*(567+8)))-9)
2307	((((012*3)*45)+678)+9)
2308	((((01*23)+(4*567))+8)+9)
2309	(((((012*3)+4)*56)+78)-9)
2310	((01+(234*5))+(67*(8+9)))
2311	((((012+345)-67)*8)-9)
2312	((((01+23)+45)+67)*(8+9))
2313	((((01+234)-56)+78)*9)
2314	(((((0-12)-34)+5)+67)*89)
2315	(((((01*2345)-6)-7)-8)-9)
2316	(((((01+2345)-6)-7)-8)-9)
2317	((((0*1)-23)+(4*567))+(8*9))
2318	(((01-23)+(4*567))+(8*9))
2319	((0123+(4*567))-(8*9))
2320	((((01*2345)-(6*7))+8)+9)
2321	((((0-12)*3)+(4*567))+89)
2322	((((0-1)+2345)+67)-89)
2323	(((01*2345)+67)-89)
2324	(((01+2345)+67)-89)
2325	((012+3)*(((4*56)-78)+9))
2326	(((012+34)*(56-7))+(8*9))
2327	(((((01*2345)+6)-7)-8)-9)
2328	(((((01+2345)+6)-7)-8)-9)
2329	((((012+345)-67)*8)+9)
2330	(((((0-123)+456)*7)+8)-9)
2331	(((0123-456)*7)*(8-9))
2332	(((((0-123)+456)*7)-8)+9)
2333	(((((01*2345)-6)-7)-8)+9)
2334	(((((01+2345)-6)-7)-8)+9)
2335	(((01-23)+(4*567))+89)
2336	(((((012*3)+4)*56)+7)+89)
2337	((012*((3*45)-6))+789)
2338	((((01+2)+(34*5))*(6+7))+89)
2339	((((0-1)+2345)+67)-(8*9))
2340	(((01*2345)+67)-(8*9))
2341	(((01+2345)+67)-(8*9))
2342	(((((01+2345)+6)+7)-8)-9)
2343	(((012+34)*(56-7))+89)
2344	(((((01+2345)+6)-7)+8)-9)
2345	(((((01*2345)+6)-7)-8)+9)
2346	(((012-34)+56)*(78-9))
2347	(((((01*2345)-6)+7)-8)+9)
2348	(((((0-123)+456)*7)+8)+9)
2349	((((0123+4)+56)+78)*9)
2350	(((01*2345)-67)+(8*9))
2351	(((01+2345)-67)+(8*9))
2352	(((01-(2*3))+(4*567))+89)
2353	((((01-2)-3)+(4*567))+89)
2354	((((0*12)-3)+(4*567))+89)
2355	(((012+3)+(4*567))+(8*9))
2356	((((01*2)-3)+(4*567))+89)
2357	((((0*123)+4)*567)+89)
2358	(((((01+2345)+6)+7)+8)-9)
2359	(((((01*234)-5)+67)*8)-9)
2360	(((((01+2345)+6)+7)-8)+9)
2361	(012+(((345-6)-78)*9))
2362	(((((01*2)+3)*456)-7)+89)
2363	(((((01*2345)-6)+7)+8)+9)
2364	(((((01+2345)-6)+7)+8)+9)
2365	((((((01-2)+345)-6)*7)+8)-9)
2366	((((0-1)+2345)-67)+89)
2367	(((01*2345)-67)+89)
2368	(((01+2345)-67)+89)
2369	((((((0-1)+234)-5)+67)*8)+9)
2370	(((((0123*4)*5)+6)-7)-89)
2371	((012+(34*(5+67)))-89)
2372	(((012+3)+(4*567))+89)
2373	(0123+(45*((67-8)-9)))
2374	(((0123+(4*567))-8)-9)
2375	((((012*34)-56)*7)-89)
2376	(((((01*2)+3)*456)+7)+89)
2377	(((((01*234)-5)+67)*8)+9)
2378	((01234+5)+(67*(8+9)))
2379	(((((0123*4)*5)+6)-78)-9)
2380	(((01*23)+(4*567))+89)
2381	(((01+23)+(4*567))+89)
2382	(((((01*2)+345)+6)*7)-89)
2383	(((01*23)*((45+67)-8))-9)
2384	(((((0123*4)*5)+6)+7)-89)
2385	(((((0-12)*34)-5)+678)*9)
2386	((01234-5)+((6+7)*89))
2387	(0123+(4*((567+8)-9)))
2388	(((0-1)-2345)+(6*789))
2389	(((0*1)-2345)+(6*789))
2390	((01-2345)+(6*789))
2391	(0123-((4*567)*(8-9)))
2392	(((01*2345)-(6*7))+89)
2393	(((01+2345)-(6*7))+89)
2394	(((((0-1)+2345)+67)-8)-9)
2395	((((01*2345)+67)-8)-9)
2396	((((01+2345)+67)-8)-9)
2397	(((((0123*4)*5)+6)-78)+9)
2398	((((01*2345)+6)+(7*8))-9)
2399	((((01+2345)+6)+(7*8))-9)
2400	((((01+2)-34)+56)*(7+89))
2401	(((01*23)*((45+67)-8))+9)
2402	(((012+((345-6)*7))+8)+9)
2403	((((012*3)*45)-6)+789)
2404	((((01*2)+3)*(456+7))+89)
2405	((((01+2345)+(6*7))+8)+9)
2406	((0-1234)+(56*((7*8)+9)))
2407	(((((0-1)+2345)-6)+78)-9)
2408	((((01*2345)-6)+78)-9)
2409	((((01+2345)-6)+78)-9)
2410	(((((0-1)+2345)+67)+8)-9)
2411	((((01*2345)+67)+8)-9)
2412	((((01+2345)+67)+8)-9)
2413	((((01*2345)+67)-8)+9)
2414	((((01+2345)+67)-8)+9)
2415	((((012*3)*45)+6)+789)
2416	((((01*2345)+6)+(7*8))+9)
2417	((((01+2345)+6)+(7*8))+9)
2418	((((01*2345)-6)+7)+(8*9))
2419	(((((0-1)+2345)+6)+78)-9)
2420	((((0-123)+456)*7)+89)
2421	((((01*2345)-6)-7)+89)
2422	((((01+2345)-6)-7)+89)
2423	(((012*((3*45)+67))+8)-9)
2424	((0123*((4*5)-6))+(78*9))
2425	(((((0-1)+2345)-6)+78)+9)
2426	((((01*2345)-6)+78)+9)
2427	((((01+2345)-6)+78)+9)
2428	(((((0-1)+2345)+67)+8)+9)
2429	((((01*2345)+67)+8)+9)
2430	((((01+2345)+67)+8)+9)
2431	(((((012+3)+45)*6)*7)-89)
2432	((0123+(4*(567+8)))+9)
2433	((((01*2345)+6)-7)+89)
2434	((((01+2345)+6)-7)+89)
2435	((((01*2345)-6)+7)+89)
2436	((((01+2345)-6)+7)+89)
2437	(((((0-1)+2345)+6)+78)+9)
2438	((((01*2345)+6)+78)+9)
2439	((((01+2345)+6)+78)+9)
2440	(01234+((56+78)*9))
2441	(((01+2345)+((6+7)*8))-9)
2442	((01-23)*((45-67)-89))
2443	(((012+(34*(5+67)))-8)-9)
2444	(((01*2345)+(6*(7+8)))+9)
2445	(((01+2345)+(6*(7+8)))+9)
2446	(((((0-1)+2345)+6)+7)+89)
2447	((((01*2345)+6)+7)+89)
2448	((((01+2345)+6)+7)+89)
2449	((01-(((2-345)+6)*7))+89)
2450	(((0-12)+((345-6)*7))+89)
2451	((((((01-2)+345)+6)*7)-8)+9)
2452	((((012+345)+6)*7)-89)
2453	((((0-12)+(34*(5+67)))+8)+9)
2454	(((012*34)*5)+(6*(78-9)))
2455	(((((01-2)+345)-6)*7)+89)
2456	(((((012+345)-6)*7)+8)-9)
2457	((((012+345)-6)-78)*9)
2458	(01234+((5+67)*(8+9)))
2459	(0123+(4*((567+8)+9)))
2460	((((0*1234)-5)*6)*(7-89))
2461	(((01-2)+((345-6)*7))+89)
2462	(((((0*12)+345)-6)*7)+89)
2463	((0123+(4*567))+(8*9))
2464	(((01*2)+((345-6)*7))+89)
2465	(((0123-45)+67)*(8+9))
2466	((((012*34)-56)-78)*9)
2467	((((((01-2)+345)+6)*7)+8)+9)
2468	(((012+((345+6)*7))+8)-9)
2469	(012+(((345+6)-78)*9))
2470	(((01*2345)+6)+(7*(8+9)))
2471	((((01-2)+34)*56)+(7*89))
2472	(012*((345-67)-(8*9)))
2473	(((((012*(3-4))+56)*7)*8)+9)
2474	((012+((345-6)*7))+89)
2475	(((((0-12)*34)+5)+678)*9)
2476	(((01*2345)+(6*7))+89)
2477	(((01+2345)+(6*7))+89)
2478	((((01*234)*(5+6))-7)-89)
2479	(((0*1)-2345)+((67*8)*9))
2480	((0123+(4*567))+89)
2481	((012*((3*45)+6))+789)
2482	((((0123*4)*5)-67)+89)
2483	(((((01+2)+345)-6)*7)+89)
2484	(((01*2345)+67)+(8*9))
2485	(((01+2345)+67)+(8*9))
2486	(((0-1)+(23*(45+67)))-89)
2487	(((01*23)*(45+67))-89)
2488	((01+(23*(45+67)))-89)
2489	((((012+34)*56)-78)-9)
2490	(((01-2)+3)*(456+789))
2491	((01-2)-(((34+5)-67)*89))
2492	(((((0*12)-34)-5)+67)*89)
2493	((((0-123)+456)-(7*8))*9)
2494	((((012+34)*56)+7)-89)
2495	((((012-34)+(5*67))*8)-9)
2496	((01*2)*((3+456)+789))
2497	(01+(2*((3+456)+789)))
2498	((((01+234)*(5+6))-78)-9)
2499	(((((012-3)*45)*6)+78)-9)
2500	((((0-1)+2345)+67)+89)
2501	(((01*2345)+67)+89)
2502	(((01+2345)+67)+89)
2503	((((01*2)+34)*(5+67))-89)
2504	(012-(((34+5)-67)*89))
2505	(((((012*34)-5)*6)+78)+9)
2506	(((01+(234*(5+6)))-78)+9)
2507	((((012+34)*56)-78)+9)
2508	((((0-123)+4)+5)*(67-89))
2509	(((0-1234)+5)+((6*7)*89))
2510	(((((0123*4)*5)+67)-8)-9)
2511	((0123*((4*5)-6))+789)
2512	(((((012-3)*45)*6)-7)+89)
2513	((012*((3*45)+67))+89)
2514	(((((012*34)-5)*6)+7)+89)
2515	(((0-12)+(34*56))+(7*89))
2516	((((01+234)*(5+6))-78)+9)
2517	(((((012-3)*45)*6)+78)+9)
2518	(((0123+(4*56))*7)+89)
2519	((01-2)+(3*((45+6)+789)))
2520	((((01-23)+(4*56))+78)*9)
2521	(((012+34)*((56+7)-8))-9)
2522	((01*2)+(3*((45+6)+789)))
2523	(((((0123*4)*5)-6)+78)-9)
2524	(((((0*12)+34)+5)*67)-89)
2525	(((((0-1)-2)+34)*56)+789)
2526	(((((012-3)*45)*6)+7)+89)
2527	((((0*12)+34)*56)+(7*89))
2528	(((((0123*4)*5)+67)-8)+9)
2529	((((012+34)*56)-(7*8))+9)
2530	(((01+2)+(34*56))+(7*89))
2531	(((((0123*4)*5)+6)+(7*8))+9)
2532	(012+(3*((45+6)+789)))
2533	((0-123)-(4*((5-678)+9)))
2534	(((0-12)+((345+6)*7))+89)
2535	(012-(3*((4-56)-789)))
2536	((012+((34+5)*67))-89)
2537	((((0*12)+34)*(5+67))+89)
2538	((((012+345)-67)-8)*9)
2539	((012+(34*56))+(7*89))
2540	(((((012+345)+6)*7)+8)-9)
2541	(((((0123*4)*5)-6)+78)+9)
2542	(((((012+345)+6)*7)-8)+9)
2543	(((0123+(4*(56-7)))*8)-9)
2544	(((((0123*4)*5)+67)+8)+9)
2545	(((01-2)+((345+6)*7))+89)
2546	((((012+345)-6)*7)+89)
2547	(((((012*34)+5)*6)+78)-9)
2548	(((((0123*4)*5)+6)-7)+89)
2549	((012+(34*(5+67)))+89)
2550	(((((0123*4)*5)-6)+7)+89)
2551	((012*((3+(4*56))-7))-89)
2552	(((((012+34)*56)-7)-8)-9)
2553	((((012*34)-56)*7)+89)
2554	(01-(23*((45-67)-89)))
2555	((((01*23)-4)*(56+78))+9)
2556	(((0*123)+4)*(567+(8*9)))
2557	((((012*34)-(5*6))*7)-89)
2558	((012+((345+6)*7))+89)
2559	(012+(3*((4+56)+789)))
2560	(((((01*2)+345)+6)*7)+89)
2561	(((0123+(4*(56-7)))*8)+9)
2562	((01*2)*((345*6)-789))
2563	(01+(2*((345*6)-789)))
2564	(012+((34-5)*((6-7)+89)))
2565	((((012+345)+6)-78)*9)
2566	(((((012+34)*56)+7)-8)-9)
2567	(((((01+2)+345)+6)*7)+89)
2568	(012*((345-(6*7))-89))
2569	(((01+(2*3))*456)-(7*89))
2570	(((((012+34)*56)-7)-8)+9)
2571	((((012+3)*4)*56)-789)
2572	((01*2)*(((3*456)+7)-89))
2573	(((01-234)*5)+((6*7)*89))
2574	(((((0*12)+345)-67)+8)*9)
2575	((((01*23)*(45+67))+8)-9)
2576	(((01+(23*(45+67)))+8)-9)
2577	((((01*23)*(45+67))-8)+9)
2578	(01234+(56*((7+8)+9)))
2579	((01*23)+(4*(567+(8*9))))
2580	(((0-1)-((2-34)*56))+789)
2581	((((012*3)-4)*56)+789)
2582	((01-((2-34)*56))+789)
2583	(0123*(((4-5)-67)+89))
2584	(((((012+34)*56)+7)-8)+9)
2585	((((012*34)*5)+(67*8))+9)
2586	(012+(((345-67)+8)*9))
2587	((0123+4)-((5*6)*(7-89)))
2588	(((0-12)*3)+(4*(567+89)))
2589	(((((012+3)*4)*5)*6)+789)
2590	((01+(2*((3*456)-78)))+9)
2591	((((01-(2*3))+45)*67)-89)
2592	(((((01*2)+345)-67)+8)*9)
2593	(012-(((34-56)-7)*89))
2594	(((0-12)+(34*56))+(78*9))
2595	((0-123)+(((4*56)+78)*9))
2596	(01-((2+3)*((45*6)-789)))
2597	((((012*34)+5)*6)+(7*(8+9)))
2598	((01*2)*(((3*456)-78)+9))
2599	(((01+23)*(45+67))-89)
2600	(((((012+34)*56)+7)+8)+9)
2601	(((((01*234)+56)+7)-8)*9)
2602	((01-23)+(4*(567+89)))
2603	((((0-1)-2)+(34*56))+(78*9))
2604	(((01-23)+456)*((7+8)-9))
2605	((((01*2)*3)*(456-7))-89)
2606	((((0*12)+34)*56)+(78*9))
2607	((01*23)-(4*(56-(78*9))))
2608	(((01*2)+(34*56))+(78*9))
2609	(((((012+3)+45)*6)*7)+89)
2610	(((((01+234)+56)+7)-8)*9)
2611	(01+((234-(56*(7-8)))*9))
2612	((((((0*12)+34)+5)*67)+8)-9)
2613	(((((0-1)+2)+3)*456)+789)
2614	((((((0*12)+34)+5)*67)-8)+9)
2615	(((0-12)+3)+(4*(567+89)))
2616	((((0123*4)*5)+67)+89)
2617	(((0-123)*(45-67))-89)
2618	((012+(34*56))+(78*9))
2619	(((((01*234)+56)-7)+8)*9)
2620	(((01-2)-3)+(4*(567+89)))
2621	((((0-12)+345)*6)+(7*89))
2622	((((01-23)+4)+56)*(78-9))
2623	((((012+34)*56)+(7*8))-9)
2624	(((0*123)+4)*(567+89))
2625	(((012*3)*(45+6))+789)
2626	(((01-2)+3)+(4*(567+89)))
2627	((((0-123)+4)*(56-78))+9)
2628	(((((01+234)+56)-7)+8)*9)
2629	(((01*2)+3)+(4*(567+89)))
2630	((((012+345)+6)*7)+89)
2631	(((012+34)*((56-7)+8))+9)
2632	(((0*1234)+56)*((7*8)-9))
2633	((012-3)+(4*(567+89)))
2634	((0123*((4+5)+6))+789)
2635	(((((01-2)+34)+5)*67)+89)
2636	((((01+2)+34)*((56+7)+8))+9)
2637	((((01-2)+34)*56)+789)
2638	(((0-1)+((2+34)*56))+(7*89))
2639	((012+3)+(4*(567+89)))
2640	(((((01*2)*3)*456)-7)-89)
2641	((((012+34)*56)+(7*8))+9)
2642	(((01-23)+(45*(67-8)))+9)
2643	((((012-34)+56)*78)-9)
2644	(((01+(234*(5+6)))+78)-9)
2645	((((012+34)*56)+78)-9)
2646	((((0*123)+45)*(67-8))-9)
2647	((01*23)+(4*(567+89)))
2648	((01+23)+(4*(567+89)))
2649	(((0-12)*345)+6789)
2650	(((01+((2*3)*456))-78)-9)
2651	((01*2345)+(((6*7)-8)*9))
2652	((((0-12)+34)-5)*(67+89))
2653	((012*(3+(45*6)))-(7*89))
2654	(((((01*2)*3)*456)+7)-89)
2655	(((0-12)+3456)-789)
2656	((01-((234-567)*8))-9)
2657	((((012*34)*5)-6)+(7*89))
2658	((((012+34)*56)-7)+89)
2659	((01+(((2+34)+5)*67))-89)
2660	((012*3)+(4*(567+89)))
2661	((((012-34)+56)*78)+9)
2662	(((0123+(45*6))*7)-89)
2663	((((01-234)+567)*8)-9)
2664	((((0-1)-2)+3456)-789)
2665	((((0*1)-2)+3456)-789)
2666	(((01-2)+3456)-789)
2667	(((0*12)+3456)-789)
2668	((((0-1)+2)+3456)-789)
2669	(((01*2)+3456)-789)
2670	(((01+2)+3456)-789)
2671	(((((0*1234)+5)*67)*8)-9)
2672	((((012+34)*56)+7)+89)
2673	(((((0*1)-234)+567)*8)+9)
2674	((01-((234-567)*8))+9)
2675	((((012+34)-5)*67)-(8*9))
2676	((((01+234)-56)*(7+8))-9)
2677	((012+(((345-6)-7)*8))+9)
2678	((012+34)+(56*((7*8)-9)))
2679	((012+3456)-789)
2680	((01+((2+3)*(456+78)))+9)
2681	((((01-234)+567)*8)+9)
2682	((((012+345)-67)+8)*9)
2683	((((0*123)-4)*(5-678))-9)
2684	((((0-123)-4)+5)*(67-89))
2685	(((((0*12)+34)+5)*67)+(8*9))
2686	(((012-34)+56)*(7+(8*9)))
2687	((((01+23)*(45+67))+8)-9)
2688	(((01+23)+(45*(67-8)))+9)
2689	(((((0*1234)+5)*67)*8)+9)
2690	(((((012*34)-5)-6)*7)-89)
2691	((0123-((45-67)*8))*9)
2692	(((01-2)+(34*56))+789)
2693	((((0*12)+34)*56)+789)
2694	((((0-1)+2)+(34*56))+789)
2695	(((01*2)+(34*56))+789)
2696	(((01+2)+(34*56))+789)
2697	(((((012*34)-5)-67)*8)+9)
2698	(((012+3)-(4*(5-678)))-9)
2699	(((((0-1)+2)+345)*6)+(7*89))
2700	((((0-12)+345)*6)+(78*9))
2701	((((0*123)-4)*(5-678))+9)
2702	(((((0*12)+34)+5)*67)+89)
2703	((((0-12)*34)+567)*(8+9))
2704	(((((012-3)*45)-6)*7)-89)
2705	((012+(34*56))+789)
2706	((012-(3*45))*(67-89))
2707	(0123-(4*(56-(78*9))))
2708	(((((01+(23*4))*5)*6)+7)-89)
2709	((((012*34)*5)+678)-9)
2710	(((012-3)-(4*(5-678)))+9)
2711	(((((0-123)+456)+7)*8)-9)
2712	((((012*(34+5))*6)-7)-89)
2713	(((((012-3)*45)-67)*8)+9)
2714	((012+((34+5)*67))+89)
2715	(((01*2)+3)*((456+78)+9))
2716	(((0*123)+4)*(56+(7*89)))
2717	(((01*23)-4)*((56+78)+9))
2718	(((((0*123)+4)*56)+78)*9)
2719	(((01-23)+(4*(5+678)))+9)
2720	((01+23)+(4*((5+678)-9)))
2721	(((((012+34)-5)-6)*78)-9)
2722	((((0-1)-2)-((3-45)*67))-89)
2723	((((0*123)+4)*(5+678))-9)
2724	(((01*23)-(4*(5-678)))+9)
2725	(((((0*12)-3)+45)*67)-89)
2726	((((012*(34+5))*6)+7)-89)
2727	((((012*34)*5)+678)+9)
2728	((((0-123)+4)-5)*(67-89))
2729	(((((0-123)+456)+7)*8)+9)
2730	(((((012+34)-5)*67)-8)-9)
2731	((012+3)+(4*(56+(7*89))))
2732	(((012-3)+(4*(5+678)))-9)
2733	((((012*3)*(4+5))*6)+789)
2734	((((0123+(45*6))*7)-8)-9)
2735	((((012*34)-(5*6))*7)+89)
2736	(((((01*234)-5)+67)+8)*9)
2737	((012-((3-45)*67))-89)
2738	(((012+3)+(4*(5+678)))-9)
2739	(((((012+34)-5)-6)*78)+9)
2740	((01+23)+(4*(56+(7*89))))
2741	((0-1234)+(5*(6+789)))
2742	(((0-12)+3456)-(78*9))
2743	(((((012+345)-6)-7)*8)-9)
2744	((((((01*2)*3)*456)+7)-8)+9)
2745	(((((01*234)+56)+7)+8)*9)
2746	((((012-3)-4)*567)-89)
2747	(0123+(4*(567+89)))
2748	(((((012+34)-5)*67)-8)+9)
2749	(((((0-1)+2)+34)*56)+789)
2750	((((0123+(45*6))*7)+8)-9)
